#hg18.kgXref.kgID	hg18.kgXref.geneSymbol	hg18.knownToLocusLink.value
uc001brj.1	EPB41	2035
uc001brm.1	EPB41	2035
uc009vtl.1	EPB41	2035
uc009vtm.1	EPB41	2035
uc001brk.2	EPB41	2035
uc009vtk.1	EPB41	2035
uc009vtn.1	EPB4.1	2035
uc001bru.1	PTPRU	10076
uc001brv.1	PTPRU	10076
uc001brw.1	PTPRU	10076
uc009vtq.1	PTPRU	10076
uc009vtr.1	PTPRU	10076
uc001brx.1	PTPRU	10076
uc001bsb.1	BC044253	n/a
uc001bsm.1	PRO0611	28997
uc001bsp.1	ZCCHC17	51538
uc001bsq.1	ZCCHC17	51538
uc009vtu.1	ZCCHC17	51538
uc001bsr.1	ZCCHC17	51538
uc009vtv.1	ZCCHC17	51538
uc001bst.1	SERINC2	347735
uc001bsu.1	SERINC2	347735
uc001bsv.1	SERINC2	347735
uc009vtw.1	TDE2	347735
uc001bsx.2	BC104455	n/a
uc001bsw.1	BC104454	n/a
uc001bsy.1	BC139778	284551
uc001bta.1	TINAGL1	64129
uc001bsz.1	TINAGL1	64129
uc001btd.1	HCRTR1	3061
uc009vtx.1	HCRTR1	3061
uc001btc.2	HCRTR1	3061
uc001btb.1	HCRTR1	3061
uc001bub.1	KHDRBS1	10657
uc001buc.1	KHDRBS1	10657
uc001bua.1	KHDRBS1	10657
uc001bud.2	TMEM39B	55116
uc001bue.2	TMEM39B	55116
uc001buf.2	TMEM39B	55116
uc001bug.1	KPNA6	23633
uc001buh.1	KPNA6	23633
uc009vtz.1	KPNA6	23633
uc001bui.1	TXLNA	200081
uc001buj.1	TXLNA	200081
uc001bul.1	CCDC28B	79140
uc001buk.2	CCDC28B	79140
uc001bum.1	IQCC	55721
uc009vua.1	IQCC	55721
uc001bun.2	DCDC2B	149069
uc009vuc.1	EIF3I	8668
uc001bur.2	EIF3I	8668
uc001bus.1	EIF3I	8668
uc001buw.1	FAM167B	84734
uc001bux.1	LCK	3932
uc001buy.1	LCK	3932
uc001buz.1	LCK	3932
uc001bva.1	LCK	3932
uc001bvb.1	HDAC1	3065
uc001bvc.1	HDAC1	3065
uc001bvf.1	TSSK3	81629
uc001bvn.1	ZBTB8	653121
uc001bvm.2	BOZF1	653121
uc001bvk.1	BOZF1	653121
uc001bvl.2	DKFZp547H154	n/a
uc001bvr.1	RBBP4	5928
uc001bvs.1	RBBP4	5928
uc001bvu.1	KIAA1522	57648
uc001bvv.1	KIAA1522	57648
uc001bwc.1	S100PBP	64766
uc001bwa.1	S100PBP	64766
uc001bwb.1	S100PBP	64766
uc001bvz.1	S100PBP	64766
uc001bwd.1	S100PBP	64766
uc001bwh.1	HPCA	3208
uc001bwn.2	BC036308	n/a
uc001bwr.1	ADC	113451
uc001bwt.1	KIAA1945	113451
uc001bws.1	ADC	113451
uc009vue.1	ADC	113451
uc001bww.1	KIAA1945	113451
uc001bwu.1	ADC	113451
uc009vug.1	ADC	113451
uc001bwv.1	ADC	113451
uc001bwy.1	KIAA1945	113451
uc001bwz.1	ADC	113451
uc001bwx.1	ADC	113451
uc009vuf.1	ADC	113451
uc001bxc.1	ZNF362	149076
uc001bxj.2	ZSCAN20	7579
uc009vui.1	ZSCAN20	7579
uc001bxk.2	ZSCAN20	7579
uc001bxq.1	HMGB4	127540
uc001bxp.1	HMGB4	127540
uc009vuj.1	HMGB4	127540
uc001bxr.2	BC031866	n/a
uc001bxs.2	C1orf94	84970
uc001bxt.1	C1orf94	84970
uc001bxu.1	GJB5	2709
uc009vuk.1	GJB5	2709
uc001bxw.2	GJB4	127534
uc001bxv.1	GJB4	127534
uc001bxx.1	GJB3	2707
uc001bxy.1	GJB3	2707
uc001bxz.2	GJB3	2707
uc001bya.1	GJA4	2701
uc009vun.1	GJA4	2701
uc009vul.1	GJA4	2701
uc009vum.1	GJA4	2701
uc001bym.1	ZMYM1	79830
uc001byn.1	ZMYM1	79830
uc001byo.1	DKFZp313O1925	79830
uc009vut.1	ZMYM1	79830
uc009vus.1	DKFZp313O1925	79830
uc001byl.1	DKFZp313O1925	79830
uc001byt.1	ZMYM4	9202
uc009vuu.1	ZMYM4	9202
uc009vuv.1	ZMYM4	9202
uc001byu.1	ZMYM4	9202
uc001bza.1	NCDN	23154
uc001bzb.1	NCDN	23154
uc001bzc.1	NCDN	23154
uc001bze.1	TFAP2E	339488
uc001bzj.1	EIF2C4	192670
uc001bzl.1	EIF2C1	26523
uc001bzk.1	EIF2C1	26523
uc009vuy.1	EIF2C1	26523
