#hg17.kgXref.kgID	hg17.kgXref.geneSymbol	hg17.knownToLocusLink.value
AB126077	AB126077	57830
AB126777	C6orf107	54887
AB128929	AB128929	361
AB154416	AB154416	332
AB158469	AB158469	6331
AB158470	AB158470	6331
AB158503	AB158503	2274
AB161944	AB161944	55656
AB162713	AB162713	54872
AB162713	AB162713	54872
AB162713	AB162713	54872
AB162713	AB162713	54872
AB163437	AB163437	50484
AB163438	AB163438	50484
AB163917	AB163917	64167
AB166669	AB166669	50484
AB166670	AB166670	50484
AB167411	MAP3K6	9064
AB167411	AB167411	9064
AB167411	AB167411	9064
AB167739	ZNF406	57623
AB167741	AB167741	57623
AB177859	AB177859	23187
AB183546	AB183546	57211
AB183547	AB183547	57211
AB188306	AB188306	5094
AB188489	SYNPO2L	79933
AB188491	OTUD1	n/a
AB188493	AB188493	2011
AB188496	TTYH1	57348
AB191258	FLNB	2317
AB191259	FLNA	2316
AB191260	FLNA	2316
AB191261	FN1	2335
AB191264	AB191264	375790
AB194232	AB194232	7337
AB195676	AB195676	55638
AB208789	AB208789	6342
AB208804	AP3D1	8943
AB208805	AB208805	9064
AB208810	ZNF250	58500
AB208816	CAST	831
AB208825	AB208825	5094
AB208831	AB208831	369
AB208847	AB208847	545
AB208891	AB208891	114548
AB208891	CIAS1	114548
AB208898	OSBPL6	114880
AB208919	FGFR1	2260
AB208930	AB208930	3748
AB208933	RPS6KA3	6197
AB208935	RASAL1	8437
AB208942	ELN	2006
AB208963	AB208963	10746
AB208963	AB208963	10746
AB208975	NFYC	4802
AB208980	AB208980	6125
AB208985	MEF2A	4205
AB209004	AB209004	11279
AB209006	SMARCC2	6601
AB209057	JAK1	3716
AB209063	AB209063	1911
AB209070	DNM1L	10059
AB209071	AB209071	5747
AB209073	AB209073	80344
AB209081	PDE4B	5142
AB209083	AB209083	5747
AB209086	AB209086	284443
AB209086	AB209086	284443
AB209095	CDC2L2	985
AB209102	DTNA	1837
AB209116	AB209116	6196
AB209119	EIF4G3	8672
AB209120	AB209120	4363
AB209181	AB209181	166614
AB209189	AB209189	5567
AB209221	AB209221	11151
AB209238	AB209238	7145
AB209244	RXRB	6257
AB209244	AB209244	6257
AB209257	SUPT5H	6829
AB209264	AB209264	11189
AB209269	EPHA7	2045
AB209288	AB209288	817
AB209293	SMARCC2	6601
AB209302	PTK9	5756
AB209327	AB209327	23387
AB209330	MAP2	4133
AB209361	AB209361	355
AB209377	AB209377	4134
AB209387	AB209387	51385
AB209398	AB209398	548644
AB209399	AB209399	2820
AB209409	LDLR	3949
AB209413	DNMT1	1786
AB209414	AB209414	11214
AB209462	RGS6	9628
AB209473	CENTD2	116985
AB209476	AB209476	79711
AB209479	AB209479	57176
AB209512	AB209512	51474
AB209529	AB209529	55367
AB209537	GIT1	28964
AB209546	AB209546	65988
AB209571	AB209571	1307
AB209588	AB209588	156
AB209620	ESR2	2100
AB209633	AB209633	4302
AB209635	AB209635	8525
AB209636	AB209636	1293
AB209649	EPB41	2035
AB209674	AB209674	26230
AB209684	SYN3	8224
AB209685	AB209685	11174
AB209693	GOLGA4	2803
AB209701	SPOCK	6695
AB209705	AB209705	5476
AB209734	AB209734	8323
AB209736	AB209736	51429
AB209761	SATB1	6304
AB209774	BRUNOL4	56853
AB209780	KIF3A	11127
AB209784	NFKBIB	4793
AB209799	AB209799	9318
AB209808	AP1M1	8907
AB209814	AB209814	249
AB209828	BCKDHA	593
AB209832	DRD2	1813
AB209847	ZNF211	10520
AB209864	AB209864	1289
AB209865	C14orf141	4053
AB209867	AB209867	10721
AB209873	AB209873	4851
AB209877	ARNT	405
AB209903	AB209903	90102
AB209907	PLD1	5337
AB209917	AB209917	10455
AB212622	CSMD2	114784
AF000148	ABCA4	24
AF000148	AF000148	24
AF000364	AF000364	10236
AF000424	AF000424	7940
AF000424	AF000424	7940
AF000425	AF000425	7940
AF000426	AF000426	7940
AF000672	ELK1	2002
AF001542	AF001542	n/a
AF001628	AF001628	10006
AF001903	HADHSC	3033
AF001945	AF001945	24
AF001947	AF001947	9129
AF002163	AP3D1	8943
AF002256	AF002256	3805
AF002672	LOH11CR2A	4013
AF002715	AF002715	4216
AF002980	KIR2DL4	3805
AF002981	KIR2DL4	3805
AF002982	KIR2DL4	3805
AF004230	AF004230	10859
AF004327	AF004327	285
AF004427	AF004427	7164
AF004709	AF004709	5603
AF004711	KCNK2	3776
AF004715	JRKL	8690
AF005068	BRCA1	672
AF005482	AF005482	8841
AF005632	AF005632	5169
AF006516	AF006516	10006
AF007170	AF007170	n/a
AF007790	DFNA5	1687
AF009039	SYNJ1	8867
AF009221	AF009221	10859
AF009616	CFLAR	8837
AF009617	CFLAR	8837
AF009619	CFLAR	8837
AF009641	AF009641	11025
AF010227	NCOA3	8202
AF010233	AF010233	9185
AF010404	MLL2	8085
AF010447	AF010447	3140
AF011375	ITGB4	3691
AF011390	AF011390	8671
AF011406	CRHR2	1395
AF011794	AF011794	9236
AF012073	PDE4D	5144
AF014794	TNFRSF10C	8794
AF014924	AF014924	11026
AF015185	AF015185	79157
AF015451	CFLAR	8837
AF015451	CFLAR	8837
AF015524	CCRL2	9034
AF015595	AF015595	1201
AF015598	AF015598	1201
AF015730	GRIN1	2902
AF015731	GRIN1	2902
AF016032	ENTPD4	9583
AF016535	ABCB1	5243
AF017633	AF017633	10849
AF019039	TNPO2	30000
AF019225	APOL1	8542
AF019381	CRHR2	1395
AF020340	GUCY1B3	2983
AF022158	ZFP37	7539
AF022212	ARHGAP6	395
AF022655	AF022655	11190
AF023259	AF023259	27303
AF023266	IDH3B	3420
AF023466	AF023466	10249
AF023612	AF023612	10907
AF024579	PPP1R3A	5506
AF025531	AF025531	11027
AF025840	POLE2	5427
AF026004	CLCN2	1181
AF026219	DLC1	10395
AF026445	AF026445	6873
AF027150	AF027150	8487
AF027169	AF027169	5900
AF027406	STK23	26576
AF027406	STK23	26576
AF027515	TGOLN2	10618
AF028785	PIK3R3	8503
AF028816	AF028816	22798
AF028825	AF028825	1742
AF029899	ADAM20	8748
AF030110	RGS12	6002
AF031138	NCR3	259197
AF031469	AF031469	3140
AF031549	AF031549	6005
AF031647	COPS3	8533
AF032105	ATXN7	6314
AF033111	AF033111	10572
AF033120	SESN1	27244
AF033122	SESN1	27244
AF033861	AF033861	109
AF034198	AF034198	3547
AF034373	AF034373	11273
AF034374	MOCS1	4337
AF034837	AF034837	105
AF034956	RAD51L3	5892
AF035269	AF035269	51365
AF035582	AF035582	8573
AF035947	CISH	1154
AF036271	SH3GL3	6457
AF036892	NCOA3	8202
AF037194	RGS14	10636
AF037626	RHD	6007
AF038440	PLD2	5338
AF038602	AF038602	9051
AF038897	STX16	8675
AF039022	XPOT	11260
AF039217	AF039217	27130
AF039390	TNFSF15	9966
AF039693	AF039693	10283
AF039699	USH1C	10083
AF040260	AF040260	2762
AF040709	AF040709	9254
AF041336	AF041336	2309
AF041462	CFLAR	8837
AF042080	GFRA1	2674
AF042274	AF042274	10254
AF042498	AF042498	1258
AF043101	CAV3	859
AF043117	UBE4B	10277
AF043117	UBE4B	10277
AF044288	ARNTL	406
AF045458	AF045458	8408
AF045583	TULP3	7289
AF049090	CSNK1G3	1456
AF049227	AF049227	6242
AF049460	DEAF1	10522
AF049884	AF049884	8470
AF049910	TACC1	6867
AF049910	TACC1	6867
AF050145	AF050145	3423
AF051325	SH2D2A	9047
AF051782	AF051782	1729
AF051852	GNE	10020
AF052059	SEL1L	6400
AF052110	AF052110	1604
AF052389	AF052389	9079
AF052510	PCYT1B	9468
AF052573	POLQ	10721
AF054176	AF054176	114548
AF054505	SLC12A4	6560
AF054506	SLC12A4	6560
AF054589	AF054589	29969
AF054816	AF054816	8832
AF054817	AF054817	8832
AF054818	AF054818	8832
AF055084	AF055084	84059
AF056320	PFKFB3	5209
AF056617	ZNF214	n/a
AF056618	ZNF215	7762
AF056717	ASH2L	9070
AF057169	VMD2	7439
AF057170	VMD2	7439
AF058696	AF058696	4683
AF060152	ADAMTS1	9510
AF060555	ESR2	2100
AF061241	AF061241	51362
AF061243	PITRM1	10531
AF061243	AF061243	10531
AF061261	AF061261	10150
AF061734	AF061734	84062
AF062085	EPN2	22905
AF062085	EPN2	22905
AF062317	CTNND1	1500
AF062317	CTNND1	1500
AF062317	CTNND1	1500
AF062321	CTNND1	1500
AF062321	CTNND1	1500
AF062321	CTNND1	1500
AF062328	CTNND1	1500
AF062328	CTNND1	1500
AF062328	CTNND1	1500
