ucsc_gene	entrez_gene
uc001efv.1	81839
uc001efx.4	845
uc001efy.3	4808
uc001egb.4	55356
uc001egc.1	126868
uc001ege.3	476
uc001egm.3	965
uc001egq.1	3321
uc001egu.4	914
uc001egv.1	5738
uc001egy.3	8458
uc001egz.2	80263
uc001ehb.3	79679
uc001ehd.1	10905
uc001ehe.3	54855
uc001ehf.3	54834
uc001ehk.2	200162
uc001ehl.1	6913
uc001ehn.3	10352
uc001ehr.1	51179
uc001eht.3	3284
uc001ehv.1	3283
uc001ehy.1	90874
uc001ehz.3	26227
uc001eid.3	3158
uc001eif.3	83998
uc001eij.3	11085
uc001eik.3	4853
uc001eml.1	9554
uc001eni.2	148738
uc001enn.4	10628
uc001enp.1	84265
uc001enq.1	284615
uc001enr.3	128077
uc001eny.2	8799
uc001eoa.3	8515
uc001eob.1	148741
uc001eoc.1	10401
uc001eoe.3	200035
uc001eoh.3	10623
uc001eoj.3	27246
uc001eol.1	11126
uc001eoo.2	5174
uc001eot.2	653519
uc001epe.3	5565
uc001epi.2	2330
uc001epm.4	9557
uc001epq.3	607
uc001epr.2	51205
uc001eps.1	2702
uc001epu.2	2703
uc001esp.4	2209
uc001etd.3	8338
uc001ete.3	317772
uc001etf.3	51027
uc001etg.3	9900
uc001etk.2	10262
uc001etl.4	10903
uc001etn.3	56957
uc001etp.3	11311
uc001ett.3	51177
uc001etw.3	81611
uc001etx.3	23632
uc001ety.2	51107
uc001eud.3	79630
uc001euj.3	148523
uc001euk.3	54460
uc001eum.4	9129
uc001euq.3	80222
uc001eus.3	1893
uc001eux.3	54507
uc001euz.3	4170
uc001eve.3	2029
uc001evj.2	55204
uc001evk.2	84072
uc001evn.3	1520
uc001evp.2	1513
uc001evr.2	405
uc001evu.2	9869
uc001evz.3	29956
uc001ewa.2	8416
uc001ewh.1	58497
uc001ewl.2	149428
uc001ewn.3	54964
uc001ewp.3	56882
uc001ewq.3	10962
uc001ewr.2	126626
uc001ewv.3	10500
uc001ewx.2	79626
uc001ewy.3	388695
uc001ewz.3	79005
uc001exc.4	29765
uc001exe.1	6944
uc001exj.3	8394
uc001exl.3	5710
uc001exq.3	57592
uc001exu.3	5298
uc001exw.1	5993
uc001exx.3	8991
uc001eyc.1	5692
uc001eyd.2	23126
uc001eyl.3	7286
uc001eyn.1	81609
uc001eys.2	11189
uc001eyv.3	65005
uc001eza.4	11022
uc001ezf.1	339398
uc001ezh.3	6097
uc001ezj.2	117145
uc001ezl.3	6281
uc001ezn.3	6282
uc001ezo.1	126637
uc001ezs.1	126638
uc001ezw.4	388698
uc001ezx.2	49860
uc001ezy.3	254910
uc001ezz.3	54544
uc001faa.3	353145
uc001fab.3	84648
uc001fac.2	353144
uc001fah.3	353140
uc001faj.3	353139
uc001fak.2	199834
uc001fal.1	448834
uc001fan.3	353135
uc001fap.1	353133
uc001faq.3	353132
uc001fas.4	448835
uc001fat.3	4184
uc001fav.1	163778
uc001faw.3	6698
uc001faz.4	6707
uc001fba.3	6699
uc001fbb.2	6703
uc001fbg.3	6701
uc001fbh.3	6704
uc001fbi.3	6705
uc001fbl.3	149018
uc001fbm.3	4014
uc001fbn.1	114771
uc001fbo.3	57115
uc001fbq.3	6280
uc001fbr.1	6283
uc001fbs.3	6279
uc001fbw.1	6277
uc001fbx.3	6276
uc001fbz.3	6275
uc001fca.1	6274
uc001fcb.3	6273
uc001fcd.1	140576
uc001fce.3	57402
uc001fch.3	6284
uc001fck.1	6271
uc001fcn.2	26097
uc001fcq.3	23557
uc001fcr.3	3608
uc001fcs.4	4881
uc001fct.3	65123
uc001fcz.3	11000
uc001fdb.4	57459
uc001fdd.1	9909
uc001fdl.3	27173
uc001fdm.1	148327
uc001fds.3	10899
uc001fdt.1	5872
uc001fdw.3	91181
uc001fec.1	7170
uc001fee.1	388701
uc001fei.2	25912
uc001fep.4	9898
uc001fes.3	10456
uc001feu.3	89872
uc001fex.3	57198
uc001fez.2	3570
uc001ffb.3	126669
uc001fff.1	55585
uc001ffg.3	1141
uc001ffh.3	103
uc001ffp.3	3782
uc001ffq.3	10654
uc001ffr.3	57326
uc001fft.3	90780
uc001ffw.3	6464
uc001fgb.3	1163
uc001fgi.3	55891
uc001fgm.3	127579
uc001fgn.2	149095
uc001fgr.1	8751
uc001fhf.3	1944
uc001fhh.3	1942
uc001fhj.4	55974
uc001fhm.3	54344
uc001fho.3	200185
uc001fhs.1	80128
uc001fix.3	7059
uc001fjb.3	4580
uc001fjl.3	2629
uc001fjm.3	10712
uc001fjs.3	10067
uc001fjw.3	1196
uc001fjz.1	57657
uc001fkb.4	5313
uc001fkc.2	2224
uc001fkj.2	23623
uc001fkt.3	55870
uc001flr.3	7818
uc001fly.1	54856
uc001fmg.3	23208
uc001fmh.1	6016
uc001fmi.1	22889
uc001fmt.2	9181
uc001fmx.3	6746
uc001fna.3	56893
uc001fnb.3	28956
uc001fnc.3	57111
uc001fnd.4	92312
uc001fni.2	4000
uc001fnp.3	9673
uc001fnt.3	632
uc001fnu.1	79957
uc001foc.4	23381
uc001foh.3	112770
uc001fol.2	7203
uc001foo.3	128229
uc001fot.1	10485
uc001fpc.3	4209
uc001fpf.3	128239
uc001fph.3	128240
uc001fpl.3	54865
uc001fpn.1	60484
uc001fpp.3	63827
uc001fpq.3	10763
uc001fpr.3	1382
uc001fps.1	81875
uc001fpu.3	51093
uc001fpx.1	79590
uc001fpy.4	3068
uc001fqa.3	5546
uc001fqd.2	9047
uc001fqh.1	4914
uc001fqj.1	375033
uc001fqm.2	149499
uc001fqn.3	9826
uc001fqq.2	440695
uc001fqr.2	2117
uc001fqw.3	83417
uc001frb.3	115352
uc001fre.2	79368
uc001frg.3	115350
uc001frk.4	922
uc001frn.4	55243
uc001frr.3	912
uc001frt.3	909
uc001frx.3	910
uc001fse.3	913
uc001fst.1	6708
uc001fsu.1	81448
uc001fsw.1	128371
uc001fsz.1	4332
uc001ftj.1	9447
uc001ftk.2	57863
uc001ftp.4	2532
uc001ftq.3	2205
uc001ftv.3	325
uc001ftw.3	1401
uc001ftz.1	54935
uc001fud.4	343413
uc001fue.4	56833
uc001fuh.3	391123
uc001fui.3	25790
uc001fun.1	8407
uc001fur.2	57549
uc001fus.3	89886
uc001fuv.1	93183
uc001fuw.2	3766
uc001fuy.1	3765
uc001fve.4	480
uc001fvk.3	8682
uc001fvv.4	1314
uc001fvx.3	23385
uc001fwa.2	4807
uc001fwc.2	57216
uc001fwd.2	114836
uc001fwh.4	8832
uc001fwl.4	6504
uc001fwn.3	962
uc001fwq.3	57823
uc001fwu.3	4063
uc001fxc.3	55600
uc001fxd.3	142683
uc001fxi.3	7391
uc001fxl.3	257106
uc001fxo.2	81607
uc001fxr.3	126823
uc001fxu.3	5202
uc001fxv.2	4817
uc001fxz.3	9191
uc001fyd.4	51506
uc001fyg.2	5498
uc001fys.2	8703
uc001fyt.4	9507
uc001fyw.3	4720
uc001fyz.1	2207
uc001fzc.1	336
uc001fzd.3	84134
uc001fzy.3	9970
uc001gad.3	654790
uc001gaf.4	4359
uc001gag.3	6391
uc001gal.3	257177
uc001gan.3	2212
uc001gar.3	2214
uc001gaz.2	2213
uc001gbe.3	84824
uc001gbi.3	127943
uc001gbo.3	11266
uc001gbs.3	22926
uc001gbu.3	25903
uc001gbv.2	9722
uc001gbx.2	284680
uc001gbz.1	117157
uc001gcc.2	127933
uc001gce.4	6675
uc001gcg.3	4921
uc001gci.3	51478
uc001gck.2	339512
uc001gcl.4	5999
uc001gcn.3	8490
uc001gcr.1	83540
uc001gct.3	5087
uc001gcz.2	4009
uc001gda.3	6258
uc001gde.2	440699
uc001gdf.3	4259
uc001gdh.1	223
uc001gdj.4	54499
uc001gdp.3	7371
uc001gdt.1	57645
uc001gdw.3	117143
uc001gdx.2	387597
uc001gdy.1	84944
uc001gea.1	10223
uc001geb.1	92235
uc001gee.3	5451
uc001gei.4	919
uc001gel.3	8804
uc001gem.3	92241
uc001geo.3	9019
uc001ger.3	55811
uc001get.3	25874
uc001gex.3	55827
uc001gfc.3	23432
uc001gfg.3	261726
uc001gfi.4	375035
uc001gfl.3	9095
uc001gfo.2	6375
uc001gfp.3	1805
uc001gfr.1	481
uc001gfu.3	29922
uc001gfy.3	8548
uc001gfz.1	57821
uc001gge.4	10560
uc001ggg.1	2153
uc001ggi.4	6403
uc001ggk.3	6402
uc001ggm.4	6401
uc001ggn.3	92342
uc001ggq.3	55732
uc001ggs.2	57147
uc001ggv.3	22920
uc001gha.2	92344
uc001ghf.3	5396
uc001ghh.3	2328
uc001ghj.1	388714
uc001ghk.1	2327
uc001ghl.3	2326
uc001gho.3	2329
uc001ghu.3	4653
uc001ghx.2	8674
uc001ghz.3	51603
uc001gie.3	26052
uc001gik.3	92346
uc001gio.3	5279
uc001giq.4	51430
uc001gis.3	356
uc001giu.2	8995
uc001giw.3	7292
uc001giy.1	9588
uc001giz.2	284525
uc001gja.1	339416
uc001gjc.3	27252
uc001gje.4	91687
uc001gjh.2	55157
uc001gjt.3	462
